,cost,numRoom,NameRoom,square,squareKitchen,floor,repair,warmFloor,SellingMethod,ceilingHeight,livingSpace,Appliances,Balcony,Furniture,Toilet,TransactionType,TypeRoom,name,district,districtName,typeHome,yearBuilding,floorInHome,passengerElevator,freightElevator,nameHome,frame,officialDeveloper,participationType,deadLine,inHome,parking,yard
18,5500000,3,3,62.0,10.0,9,Евро,,Свободная,,,,Лоджия,,Раздельный,,Изолированные,"Пермский край, Пермь, Нейвинская ул., 14",3.0,р-н Свердловский,Панельный,,9.0,1,нет,,,,,,,,
19,2000000,1,1,29.0,6.9,5,Косметический,Нет,,,13.5,,Лоджия,,Совмещенный,,,"Пермский край, Пермь, Памирская ул., 28",6.0,р-н Орджоникидзевский,Кирпичный,1991,9.0,1,,,,,,,,,
20,2150000,1,1,29.9,7.0,7,Косметический,,Свободная,2.5,13.9,,Лоджия,,Совмещенный,,,"Пермский край, Пермь, Памирская ул., 28",6.0,р-н Орджоникидзевский,Кирпичный,1991,9.0,1,,,,,,,,,
21,3100000,1,1,35.8,9.3,2,Дизайнерский,,Свободная,2.6,17.9,"Холодильник,Стиральная машина,Посудомоечная машина,Водонагреватель",Лоджия,"Кухня,Хранение одежды,Спальные места",Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Памирская ул., 28",6.0,р-н Орджоникидзевский,Кирпичный,1991,9.0,1,,,,,,,,,
22,3499000,2,2,44.5,8.6,3,Евро,,Свободная,2.5,23.0,,Лоджия,Кухня,Совмещенный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Памирская ул., 28",6.0,р-н Орджоникидзевский,Кирпичный,1991,9.0,1,,,,,,,,,
23,11050000,4,4,127.7,5.6,15,Требует ремонта,,Свободная,,114.0,,"Балкон,Лоджия",,Раздельный,,Изолированные,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
24,9790000,4,4,108.6,20.0,17,Требует ремонта,,Свободная,,,,"Балкон,Лоджия",,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
25,4470000,1,1,50.4,12.0,9,Требует ремонта,,Свободная,,,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
26,4000000,1,1,40.1,11.9,5,Косметический,,Свободная,2.7,17.1,,Лоджия,,Совмещенный,,,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
27,5500000,2,2,61.0,16.1,4,Требует ремонта,Нет,Свободная,2.8,23.2,,Балкон,,Раздельный,,Изолированные,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
28,4680000,1,1,50.9,14.0,18,Требует ремонта,,Свободная,,,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
29,6250000,2,2,64.6,5.1,17,Требует ремонта,,Свободная,5.5,54.8,,Лоджия,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
30,19300000,3,3,214.0,40.3,17,Требует ремонта,,Свободная,,134.5,,"Балкон,Лоджия",,Раздельный,Возможна ипотека,Смежные,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
31,11600000,0,Студия,150.3,,16,Требует ремонта,,Свободная,2.8,99.2,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
32,4600000,2,2,53.1,12.1,3,Требует ремонта,,Свободная,2.8,29.0,,Лоджия,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
33,4850000,2,2,53.4,12.1,3,Требует ремонта,,Свободная,2.8,28.8,,Лоджия,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
34,4450000,1,1,47.3,13.7,15,Требует ремонта,,Свободная,2.8,21.4,,Лоджия,,Раздельный,Возможна ипотека,,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
35,3990000,1,1,40.1,12.0,5,Косметический,,Свободная,,17.0,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
36,8300000,3,3,110.0,13.7,15,Требует ремонта,,Свободная,5.0,41.5,,Лоджия,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Пушкарская ул., 142",1.0,р-н Мотовилихинский,Монолитный,2021,21.0,1,1,,,,,,,,
37,4600000,3,3,63.0,10.0,10,Требует ремонта,Нет,Свободная,,41.0,,Лоджия,,Раздельный,,Изолированные,"Пермский край, Пермь, ул. Архитектора Свиязева, 44",,,,,,,,,,,,,,,
38,2690000,1,1,31.1,6.0,5,Косметический,Нет,Свободная,,18.0,,Балкон,,Совмещенный,,,"Пермский край, Пермь, ул. Братьев Игнатовых, 19",,,,,,,,,,,,,,,
39,1690000,1,1,30.1,5.5,2,Требует ремонта,,Свободная,,18.5,,Балкон,,Совмещенный,,,"Пермский край, Пермь, ул. Генерала Панфилова, 16",4.0,р-н Кировский,Панельный,1963,5.0,,,,,,,,,,
40,2250000,1,1,30.1,5.0,2,Косметический,Нет,Свободная,2.5,17.0,,,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Генерала Панфилова, 16",4.0,р-н Кировский,Панельный,1963,5.0,,,,,,,,,,
41,3900000,1,1,42.0,11.0,1,Евро,Нет,Свободная,,18.0,,Лоджия,"Кухня,Хранение одежды",Раздельный,Возможна ипотека,,"Пермский край, Пермь, ул. Желябова, 3",5.0,р-н Дзержинский,Панельный,2005,10.0,1,1,,,,,,,,
42,6500000,2,2,52.8,10.0,3,Евро,,Альтернативная,,,,Балкон,"Кухня,Хранение одежды",Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. Желябова, 3",5.0,р-н Дзержинский,Панельный,2005,10.0,1,1,,,,,,,,
43,7320000,2,2,60.0,10.0,4,Евро,,Свободная,2.5,40.0,"Холодильник,Стиральная машина",Лоджия,"Кухня,Хранение одежды,Спальные места",Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. Желябова, 3",5.0,р-н Дзержинский,Панельный,2005,10.0,1,1,,,,,,,,
44,3550000,3,3,60.2,7.6,2,Косметический,Нет,Альтернативная,2.5,42.6,,"Балкон,Лоджия",Кухня,Раздельный,Возможна ипотека,Смежные,"Пермский край, Пермь, ул. Кабельщиков, 87",,,,,,,,,,,,,,,
45,6100000,3,3,70.6,7.0,6,Евро,Да,Альтернативная,,53.0,,Балкон,Кухня,Раздельный,Возможна ипотека,Смежные,"Пермский край, Пермь, ул. Калинина, 64",4.0,р-н Кировский,Блочный,2013,17.0,1,1,,,,,,,,
46,2749000,1,1,31.6,20.0,4,Косметический,,Свободная,,,,,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Калинина, 64",4.0,р-н Кировский,Блочный,2013,17.0,1,1,,,,,,,,
47,3900000,1,1,50.5,6.0,8,Косметический,,Свободная,2.8,32.3,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Калинина, 64",4.0,р-н Кировский,Блочный,2013,17.0,1,1,,,,,,,,
48,3600000,1,1,34.1,10.0,6,Косметический,,Свободная,,,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Карбышева, 49А",6.0,р-н Орджоникидзевский,Монолитный,,24.0,,,,,,,,,,
49,3350000,1,1,33.4,9.1,10,Евро,Есть,Альтернативная,,14.0,,Балкон,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Карбышева, 49А",6.0,р-н Орджоникидзевский,Монолитный,,24.0,,,,,,,,,,
50,3450000,1,1,34.7,12.0,16,Косметический,Нет,Свободная,,13.0,,Балкон,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Карбышева, 49А",6.0,р-н Орджоникидзевский,Монолитный,,24.0,,,,,,,,,,
51,3390000,1,1,33.2,10.0,18,Косметический,,Свободная,,19.0,,Балкон,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Карбышева, 49А",6.0,р-н Орджоникидзевский,Монолитный,,24.0,,,,,,,,,,
52,4800000,2,2,53.5,10.0,3,Евро,,Свободная,,,,Балкон,,,,Изолированные,"Пермский край, Пермь, ул. Карбышева, 49А",6.0,р-н Орджоникидзевский,Монолитный,,24.0,,,,,,,,,,
53,3090000,2,2,41.0,5.9,5,Требует ремонта,Нет,Свободная,2.5,28.9,,,,Совмещенный,,Изолированные,"Пермский край, Пермь, ул. Качалова, 20",,,,,,,,,,,,,,,
54,3400000,3,3,67.8,7.5,1,Косметический,,Альтернативная,3.0,47.2,,,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. КИМ, 51",1.0,р-н Мотовилихинский,Кирпичный,1958,3.0,нет,нет,,,,,,,,
55,5000000,4,4,81.7,7.1,3,Евро,Нет,Свободная,3.0,60.2,,Балкон,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. КИМ, 51",1.0,р-н Мотовилихинский,Кирпичный,1958,3.0,нет,нет,,,,,,,,
56,5900000,2,2,60.0,12.0,4,Евро,,Свободная,3.4,,"Холодильник,Стиральная машина",Балкон,,Совмещенный,,Изолированные,"Пермский край, Пермь, ул. Куйбышева, 86",3.0,р-н Свердловский,Кирпичный,,4.0,,,,,,,,,,
57,4100000,2,2,60.5,9.7,2,Косметический,Нет,Свободная,3.2,34.0,,,Кухня,Раздельный,,Изолированные,"Пермский край, Пермь, ул. Куйбышева, 86",3.0,р-н Свердловский,Кирпичный,,4.0,,,,,,,,,,
58,4400000,1,1,36.0,6.0,2,Евро,Нет,Свободная,,,,,Кухня,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Лифанова, 23",,,,,,,,,,,,,,,
59,3590000,1,1,41.9,6.0,2,Косметический,Нет,Свободная,,,,Балкон,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Лодыгина, 3А",,,,,,,,,,,,,,,
60,6250000,3,3,68.0,9.0,5,Косметический,,Свободная,,41.0,,Балкон,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. Максима Горького, 65",3.0,р-н Свердловский,Панельный,1989,10.0,1,,,,,,,,,
61,3998654,1,1,35.8,9.0,3,Косметический,Нет,Свободная,2.5,17.0,Кондиционер,Балкон,Кухня,Раздельный,Возможна ипотека,,"Пермский край, Пермь, ул. Максима Горького, 65",3.0,р-н Свердловский,Панельный,1989,10.0,1,,,,,,,,,
62,11900000,3,3,114.0,14.1,5,Косметический,,Альтернативная,2.7,66.9,,Балкон,,"Совмещенный,Раздельный",Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. Малкова, 26",5.0,р-н Дзержинский,Кирпичный,2003,10.0,1,1,,,,,,,,
63,14000000,4,4,124.5,14.2,4,Евро,,Альтернативная,2.8,74.1,"Кондиционер,Холодильник,Стиральная машина,Водонагреватель",Лоджия,"Кухня,Хранение одежды,Спальные места",Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. Малкова, 26",5.0,р-н Дзержинский,Кирпичный,2003,10.0,1,1,,,,,,,,
64,8880000,2,2,93.5,13.6,12,Дизайнерский,Есть,Свободная,2.7,43.8,"Кондиционер,Водонагреватель",Лоджия,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. Малкова, 26",5.0,р-н Дзержинский,Кирпичный,2003,10.0,1,1,,,,,,,,
65,10250000,4,4,118.0,16.0,9,Евро,,Свободная,,71.0,,"Балкон,Лоджия",,Раздельный,,Изолированные,"Пермский край, Пермь, ул. Малкова, 26",5.0,р-н Дзержинский,Кирпичный,2003,10.0,1,1,,,,,,,,
66,9550000,2,2,93.5,13.6,12,Евро,Да,,2.7,45.0,,Лоджия,,Совмещенный,,Изолированные,"Пермский край, Пермь, ул. Малкова, 26",5.0,р-н Дзержинский,Кирпичный,2003,10.0,1,1,,,,,,,,
67,7200000,2,2,66.0,10.0,6,Евро,Есть,Свободная,2.7,50.0,"Стиральная машина,Посудомоечная машина",Балкон,"Кухня,Хранение одежды,Спальные места",Совмещенный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. Малкова, 26",5.0,р-н Дзержинский,Кирпичный,2003,10.0,1,1,,,,,,,,
68,2700000,1,1,33.6,11.0,12,Косметический,,Альтернативная,,15.8,,Лоджия,,Совмещенный,,,"Пермский край, Пермь, ул. Менжинского, 53А",6.0,р-н Орджоникидзевский,Кирпичный,,16.0,1,1,,,,,,,,
69,2700000,1,1,35.0,11.0,15,Косметический,,Свободная,,17.5,,Лоджия,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Менжинского, 53А",6.0,р-н Орджоникидзевский,Кирпичный,,16.0,1,1,,,,,,,,
70,2399000,1,1,33.0,8.0,11,Косметический,Нет,Свободная,,,,Лоджия,Кухня,Совмещенный,,,"Пермский край, Пермь, ул. Менжинского, 53А",6.0,р-н Орджоникидзевский,Кирпичный,,16.0,1,1,,,,,,,,
71,2500000,1,1,35.0,10.9,9,Косметический,,Свободная,2.7,17.3,,Балкон,Кухня,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Менжинского, 53А",6.0,р-н Орджоникидзевский,Кирпичный,,16.0,1,1,,,,,,,,
72,2350000,1,1,34.0,11.0,16,Косметический,,Свободная,,15.5,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Менжинского, 53А",6.0,р-н Орджоникидзевский,Кирпичный,,16.0,1,1,,,,,,,,
73,2530000,1,1,33.6,11.0,16,Требует ремонта,,Свободная,2.3,15.6,"Холодильник,Стиральная машина",Лоджия,"Кухня,Хранение одежды,Спальные места",Раздельный,,,"Пермский край, Пермь, ул. Менжинского, 53А",6.0,р-н Орджоникидзевский,Кирпичный,,16.0,1,1,,,,,,,,
74,2300000,1,1,33.6,11.0,8,Косметический,,Свободная,,,,Лоджия,,Совмещенный,,,"Пермский край, Пермь, ул. Менжинского, 53А",6.0,р-н Орджоникидзевский,Кирпичный,,16.0,1,1,,,,,,,,
75,2500000,1,1,34.0,11.0,8,Косметический,,Свободная,,16.0,,Лоджия,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Менжинского, 53А",6.0,р-н Орджоникидзевский,Кирпичный,,16.0,1,1,,,,,,,,
76,2950000,1,1,36.0,8.0,4,Требует ремонта,,Свободная,3.2,,,Балкон,,Раздельный,,,"Пермский край, Пермь, ул. Николая Островского, 15А",2.0,р-н Ленинский,Кирпичный,,2.0,,,,,,,,,,
77,2990000,2,2,47.8,8.3,2,Требует ремонта,,Свободная,,27.7,,,,Раздельный,,Смежные,"Пермский край, Пермь, ул. Николая Островского, 15А",2.0,р-н Ленинский,Кирпичный,,2.0,,,,,,,,,,
78,3000000,2,2,48.5,7.0,2,Требует ремонта,Нет,Свободная,3.2,29.0,,,,Раздельный,,Изолированные,"Пермский край, Пермь, ул. Николая Островского, 15А",2.0,р-н Ленинский,Кирпичный,,2.0,,,,,,,,,,
79,2590000,1,1,33.5,7.0,4,Косметический,Нет,Свободная,2.5,19.5,,,"Кухня,Хранение одежды",Совмещенный,,,"Пермский край, Пермь, ул. Охотников, 17",,,,,,,,,,,,,,,
80,3300000,1,1,30.4,6.1,5,Евро,Нет,Свободная,,,Кондиционер,Балкон,Кухня,Раздельный,Возможна ипотека,,"Пермский край, Пермь, ул. Плеханова, 52",,,,,,,,,,,,,,,
81,2760000,1,1,29.0,5.3,3,Косметический,,Свободная,2.5,17.0,,,,Совмещенный,,,"Пермский край, Пермь, ул. Плеханова, 70",5.0,р-н Дзержинский,Кирпичный,1983,9.0,,,,,,,,,,
82,2749000,1,1,30.0,5.2,8,Косметический,,Свободная,,18.0,,Балкон,,Совмещенный,,,"Пермский край, Пермь, ул. Плеханова, 70",5.0,р-н Дзержинский,Кирпичный,1983,9.0,,,,,,,,,,
83,2560000,1,1,29.0,5.3,2,Косметический,,Свободная,2.5,17.5,,,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,,"Пермский край, Пермь, ул. Плеханова, 70",5.0,р-н Дзержинский,Кирпичный,1983,9.0,,,,,,,,,,
84,2850000,1,1,29.0,6.0,2,Косметический,Нет,Свободная,,,,Балкон,,Совмещенный,,,"Пермский край, Пермь, ул. Плеханова, 70",5.0,р-н Дзержинский,Кирпичный,1983,9.0,,,,,,,,,,
85,6700000,3,3,73.2,9.5,2,Косметический,Нет,,2.7,41.5,,Лоджия,,Раздельный,,Изолированные,"Пермский край, Пермь, ул. Советской Армии, 45",,,,,,,,,,,,,,,
86,4050000,2,2,50.0,10.0,2,Косметический,Нет,Свободная,,,,Лоджия,,Раздельный,,Изолированные,"Пермский край, Пермь, ул. Солдатова, 8",3.0,р-н Свердловский,Панельный,,12.0,,,,,,,,,,
87,3600000,2,2,50.0,9.4,3,Требует ремонта,,Свободная,,30.0,,Лоджия,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ул. Солдатова, 8",3.0,р-н Свердловский,Панельный,,12.0,,,,,,,,,,
88,3900000,2,2,50.0,10.0,2,Косметический,,Свободная,,,,Балкон,,,,Изолированные,"Пермский край, Пермь, ул. Солдатова, 8",3.0,р-н Свердловский,Панельный,,12.0,,,,,,,,,,
89,2200000,2,2,68.3,6.0,1,Косметический,Нет,Свободная,2.5,40.9,,Лоджия,,Раздельный,Возможна ипотека,Смежные,"Пермский край, Пермь, ш. Космонавтов, 166",7.0,р-н Индустриальный,Панельный,2005,10.0,1,нет,,,,,,,,
90,6700000,3,3,73.2,29.2,7,Евро,,Свободная,2.7,27.2,"Кондиционер,Посудомоечная машина",Лоджия,"Кухня,Хранение одежды",Раздельный,,Изолированные,"Пермский край, Пермь, ш. Космонавтов, 166",7.0,р-н Индустриальный,Панельный,2005,10.0,1,нет,,,,,,,,
91,7800000,4,4,102.0,20.0,9,Косметический,,Свободная,2.6,70.0,,Лоджия,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, ш. Космонавтов, 166",7.0,р-н Индустриальный,Панельный,2005,10.0,1,нет,,,,,,,,
92,2100000,1,1,30.5,6.1,1,Евро,Нет,Свободная,2.5,,,,Кухня,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Ямпольская ул., 12А",,,,,,,,,,,,,,,
93,5900000,1,1,38.0,12.3,5,Косметический,Нет,Свободная,,15.0,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермь, Монастырская улица, 60",,,,,,,,,,,,,,,
94,2790000,2,2,46.1,6.2,1,Дизайнерский,Нет,Свободная,,,,,Кухня,Раздельный,,Изолированные,"Пермь, Петрозаводская улица, 8",,,,,,,,,,,,,,,
95,4700000,1,1,42.7,4.9,22,Евро,Нет,Свободная,2.7,22.2,,Лоджия,"Кухня,Хранение одежды",Совмещенный,,,"Пермь, проспект Декабристов, 21",,,,,,,,,,,,,,,
96,5150000,2,2,41.7,6.3,7,Косметический,Да,Свободная,2.7,25.3,,Балкон,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,Изолированные,"Пермь, Сапфирная улица, 10",1.0,р-н Мотовилихинский,Монолитный,,9.0,нет,2,,,,,,,,
97,5790000,2,2,53.3,10.0,4,Евро,Есть,Свободная,,,,,,Совмещенный,Возможна ипотека,Изолированные,"Пермь, Сапфирная улица, 10",1.0,р-н Мотовилихинский,Монолитный,,9.0,нет,2,,,,,,,,
98,4500000,1,1,32.5,6.5,4,Дизайнерский,Да,,2.7,18.4,,Балкон,,Совмещенный,,,"Пермь, улица 25 Октября, 5",,,,,,,,,,,,,,,
99,3450000,1,1,38.0,11.0,4,Косметический,Нет,Свободная,2.7,16.0,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермь, улица Водников, 59",,,,,,,,,,,,,,,
100,2150000,1,1,31.0,6.0,5,Евро,Да,Свободная,2.5,17.0,,Балкон,Кухня,Совмещенный,,,"Пермь, улица Луговского",,,,,,,,,,,,,,,
101,2300000,2,2,38.0,6.0,4,Косметический,Нет,Свободная,,,,Балкон,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,Изолированные,"Пермь, улица Луговского, 134",,,,,,,,,,,,,,,
102,2875000,1,1,35.8,6.5,5,Требует ремонта,Нет,Свободная,,,,Балкон,,Совмещенный,Возможна ипотека,,"Пермь, улица Луначарского, 135",,,,,,,,,,,,,,,
103,4300000,3,3,45.0,18.0,2,Косметический,Нет,Свободная,,,,Балкон,Кухня,Раздельный,,Изолированные,"Пермь, улица Льва Шатрова, 33, подъезд 2",,,,,,,,,,,,,,,
104,5200000,2,2,60.0,12.0,13,Косметический,Нет,,,,,Лоджия,"Кухня,Хранение одежды",Раздельный,,Изолированные,"Пермь, улица Макаренко, 12А",,,,,,,,,,,,,,,
105,4200000,4,4,60.7,6.1,3,Косметический,Нет,Свободная,2.5,44.8,,Балкон,Кухня,Совмещенный,Возможна ипотека,Изолированные,"Пермь, улица Макаренко, 8",,,,,,,,,,,,,,,
106,2450000,1,1,27.9,7.0,7,Косметический,Нет,Свободная,,14.7,,Лоджия,,Совмещенный,Возможна ипотека,,"Пермь, улица Менжинского, 13",,,,,,,,,,,,,,,
107,2530000,1,1,29.5,5.8,2,Требует ремонта,Нет,Свободная,,,Плита,,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,,"Пермь, улица Мира, 88",,,,,,,,,,,,,,,
108,4999999,2,2,45.5,5.0,20,Косметический,Нет,Свободная,2.7,38.0,Кондиционер,Лоджия,,Совмещенный,,Изолированные,"Пермь, улица Тургенева, 33Д",,,,,,,,,,,,,,,
109,2900000,2,2,44.9,6.1,1,Требует ремонта,Нет,Свободная,2.5,28.4,,,,Совмещенный,Возможна ипотека,Смежные,"Пермь, улица Халтурина, 6",,,,,,,,,,,,,,,
110,5700000,3,3,71.9,9.0,1,Евро,Да,,,,,,"Кухня,Хранение одежды",Раздельный,,Изолированные,"Пермь, Уральская улица, 57А",,,,,,,,,,,,,,,
